"year","quantity","state"
"1837","1068153","Bahia"
"1838","1071146","Bahia"
"1839","1075270","Bahia"
"1840","1077562","Bahia"
"1841","1079385","Bahia"
"1842","1083926","Bahia"
"1843","1087037","Bahia"
"1844","1093565","Bahia"
"1845","1096859","Bahia"
"1846","1096859","Bahia"
"1847","1107802","Bahia"
"1848","1115365","Bahia"
"1849","1115365","Bahia"
"1850","1124826","Bahia"
"1851","1125807","Bahia"
"1852","1125807","Bahia"
"1853","1125807","Bahia"
"1854","1125807","Bahia"
"1855","1125807","Bahia"
"1856","1125807","Bahia"
"1857","1125807","Bahia"
"1858","1125807","Bahia"
"1859","1125807","Bahia"
"1860","1125807","Bahia"
"1861","1125807","Bahia"
"1862","1125807","Bahia"
"1863","1125807","Bahia"
"1864","1125807","Bahia"
"1865","1125807","Bahia"
"1866","1125807","Bahia"
"1867","1125807","Bahia"
"1868","1125807","Bahia"
"1869","1125807","Bahia"
"1870","1125807","Bahia"
"1871","1125807","Bahia"
"1872","1125807","Bahia"
"1873","1125807","Bahia"
"1874","1125807","Bahia"
"1875","1125807","Bahia"
"1876","1125807","Bahia"
"1877","1125807","Bahia"
"1878","1125807","Bahia"
"1879","1125807","Bahia"
"1880","1125807","Bahia"
"1881","1125807","Bahia"
"1882","1125807","Bahia"
"1883","1125807","Bahia"
"1884","1125807","Bahia"
"1885","1125807","Bahia"
"1886","1125807","Bahia"
"1887","1125807","Bahia"
"1888","1125807","Bahia"
"1500","0","Pernambuco"
"1501","0","Pernambuco"
"1502","0","Pernambuco"
"1503","0","Pernambuco"
"1504","0","Pernambuco"
"1505","0","Pernambuco"
"1506","0","Pernambuco"
"1507","0","Pernambuco"
"1508","0","Pernambuco"
"1509","0","Pernambuco"
"1510","0","Pernambuco"
"1511","0","Pernambuco"
"1512","0","Pernambuco"
"1513","0","Pernambuco"
"1514","0","Pernambuco"
"1515","0","Pernambuco"
"1516","0","Pernambuco"
"1517","0","Pernambuco"
"1518","0","Pernambuco"
"1519","0","Pernambuco"
"1520","0","Pernambuco"
"1521","0","Pernambuco"
"1522","0","Pernambuco"
"1523","0","Pernambuco"
"1524","0","Pernambuco"
"1525","0","Pernambuco"
"1526","0","Pernambuco"
"1527","0","Pernambuco"
"1528","0","Pernambuco"
"1529","0","Pernambuco"
"1530","0","Pernambuco"
"1531","0","Pernambuco"
"1532","0","Pernambuco"
"1533","0","Pernambuco"
"1534","0","Pernambuco"
"1535","0","Pernambuco"
"1536","0","Pernambuco"
"1537","0","Pernambuco"
"1538","0","Pernambuco"
"1539","0","Pernambuco"
"1540","0","Pernambuco"
"1541","0","Pernambuco"
"1542","0","Pernambuco"
"1543","0","Pernambuco"
"1544","0","Pernambuco"
"1545","0","Pernambuco"
"1546","0","Pernambuco"
"1547","0","Pernambuco"
"1548","0","Pernambuco"
"1549","0","Pernambuco"
"1550","0","Pernambuco"
"1551","0","Pernambuco"
"1552","0","Pernambuco"
"1553","0","Pernambuco"
"1554","0","Pernambuco"
"1555","0","Pernambuco"
"1556","0","Pernambuco"
"1557","0","Pernambuco"
"1558","0","Pernambuco"
"1559","0","Pernambuco"
"1560","0","Pernambuco"
"1561","0","Pernambuco"
"1562","0","Pernambuco"
"1563","0","Pernambuco"
"1564","0","Pernambuco"
"1565","0","Pernambuco"
"1566","0","Pernambuco"
"1567","0","Pernambuco"
"1568","0","Pernambuco"
"1569","0","Pernambuco"
"1570","0","Pernambuco"
"1571","0","Pernambuco"
"1572","0","Pernambuco"
"1573","0","Pernambuco"
"1574","48","Pernambuco"
"1575","332","Pernambuco"
"1576","415","Pernambuco"
"1577","415","Pernambuco"
"1578","415","Pernambuco"
"1579","415","Pernambuco"
"1580","415","Pernambuco"
"1581","415","Pernambuco"
"1582","415","Pernambuco"
"1583","415","Pernambuco"
"1584","415","Pernambuco"
"1585","415","Pernambuco"
"1586","415","Pernambuco"
"1587","415","Pernambuco"
"1588","415","Pernambuco"
"1589","415","Pernambuco"
"1590","415","Pernambuco"
"1591","415","Pernambuco"
"1592","415","Pernambuco"
"1593","415","Pernambuco"
"1594","415","Pernambuco"
"1595","415","Pernambuco"
"1596","415","Pernambuco"
"1597","415","Pernambuco"
"1598","415","Pernambuco"
"1599","415","Pernambuco"
"1600","415","Pernambuco"
"1601","415","Pernambuco"
"1602","415","Pernambuco"
"1603","415","Pernambuco"
"1604","702","Pernambuco"
"1605","702","Pernambuco"
"1606","702","Pernambuco"
"1607","702","Pernambuco"
"1608","702","Pernambuco"
"1609","702","Pernambuco"
"1610","702","Pernambuco"
"1611","702","Pernambuco"
"1612","702","Pernambuco"
"1613","702","Pernambuco"
